Jobs,Processors,Cooling,Run,Time,BestK2
1000,5,L,5,0.06,4.84583e+06
1000,5,B,1,0.06,4.84583e+06
1000,5,B,2,0.06,4.84583e+06
1000,5,B,3,0.06,4.84583e+06
1000,5,B,4,0.06,4.84583e+06
1000,5,B,5,0.06,4.84583e+06
1000,5,C,1,0.72,3.30808e+06
1000,5,C,2,0.51,3.55674e+06
1000,5,C,3,0.59,3.54415e+06
1000,5,C,4,0.70,3.52304e+06
1000,5,C,5,0.67,3.28818e+06
1000,10,L,1,0.07,2.39055e+06
1000,10,L,2,0.07,2.39055e+06
1000,10,L,3,0.09,2.38456e+06
1000,10,L,4,0.07,2.42412e+06
1000,10,L,5,0.05,2.42412e+06
1000,10,B,1,0.05,2.42412e+06
1000,10,B,2,0.05,2.42412e+06
1000,10,B,3,0.05,2.42412e+06
1000,10,B,4,0.05,2.42412e+06
1000,10,B,5,0.05,2.42412e+06
1000,10,C,1,0.64,1.66837e+06
1000,10,C,2,0.60,1.75694e+06
1000,10,C,3,0.77,1.75143e+06
1000,10,C,4,0.61,1.66858e+06
1000,10,C,5,0.63,1.78644e+06
1000,15,L,1,0.06,1.67975e+06
1000,15,L,2,0.06,1.67975e+06
1000,15,L,3,0.06,1.67961e+06
1000,15,L,4,0.07,1.61961e+06
1000,15,L,5,0.07,1.61961e+06
1000,15,B,1,0.07,1.61961e+06
1000,15,B,2,0.07,1.61961e+06
1000,15,B,3,0.07,1.61961e+06
1000,15,B,4,0.07,1.61961e+06
1000,15,B,5,0.07,1.61961e+06
1000,15,C,1,0.60,1.14219e+06
1000,15,C,2,0.66,1.16685e+06
1000,15,C,3,0.72,1.16627e+06
1000,15,C,4,0.55,1.17285e+06
1000,15,C,5,0.47,1.18662e+06
1000,20,L,1,0.06,1.26118e+06
1000,20,L,2,0.06,1.26118e+06
1000,20,L,3,0.06,1.26118e+06
1000,20,L,4,0.06,1.26118e+06
1000,20,L,5,0.06,1.26118e+06
1000,20,B,1,0.06,1.26118e+06
1000,20,B,2,0.06,1.25153e+06
1000,20,B,3,0.06,1.1852e+06
1000,20,B,4,0.06,1.1852e+06
1000,20,B,5,0.07,1.1852e+06
1000,20,C,1,0.65,851009
1000,20,C,2,0.55,853615
1000,20,C,3,0.69,873902
1000,20,C,4,0.49,915254
1000,20,C,5,0.68,909803
1500,2,L,1,1.24,1.93726e+07
1500,2,L,2,1.23,1.93325e+07
1500,2,L,3,0.98,1.84372e+07
1500,2,L,4,0.97,1.92734e+07
1500,2,L,5,1.20,1.94375e+07
1500,2,B,1,0.07,2.82282e+07
1500,2,B,2,0.07,2.82282e+07
1500,2,B,3,0.07,2.82282e+07
1500,2,B,4,0.07,2.82282e+07
1500,2,B,5,0.08,2.82282e+07
1500,2,C,1,1.38,1.98509e+07
1500,2,C,2,1.40,1.93078e+07
1500,2,C,3,1.16,1.86457e+07
1500,2,C,4,1.50,1.91917e+07
1500,2,C,5,0.96,1.87636e+07
1500,5,L,1,0.07,1.09303e+07
1500,5,L,2,0.07,1.0872e+07
1500,5,L,3,1.36,7.79999e+06
1500,5,L,4,0.92,7.95879e+06
1500,5,L,5,1.35,7.59866e+06
1500,5,B,1,0.09,1.13947e+07
1500,5,B,2,0.09,1.13947e+07
1500,5,B,3,0.09,1.13947e+07
1500,5,B,4,0.07,1.12715e+07
1500,5,B,5,0.09,1.11785e+07
1500,5,C,1,0.95,7.96013e+06
1500,5,C,2,1.23,7.43108e+06
1500,5,C,3,1.17,7.72656e+06
1500,5,C,4,1.57,7.65344e+06
1500,5,C,5,1.12,7.91007e+06
1500,10,L,1,0.09,5.51529e+06
1500,10,L,2,0.09,5.51529e+06
1500,10,L,3,0.09,5.51529e+06
1500,10,L,4,0.09,5.51529e+06
1500,10,L,5,0.09,5.51529e+06
1500,10,B,1,0.09,5.51529e+06
1500,10,B,2,0.09,5.51529e+06
1500,10,B,3,0.07,5.58024e+06
1500,10,B,4,0.08,5.55634e+06
1500,10,B,5,0.08,5.55634e+06
1500,10,C,1,1.13,3.87767e+06
1500,10,C,2,1.13,3.82693e+06
1500,10,C,3,1.07,3.94297e+06
1500,10,C,4,1.11,3.97685e+06
1500,10,C,5,1.22,3.8585e+06
1500,15,L,1,0.08,3.69672e+06
1500,15,L,2,0.09,3.64075e+06
1500,15,L,3,0.09,3.64075e+06
1500,15,L,4,0.09,3.64075e+06
1500,15,L,5,0.09,3.64075e+06
1500,15,B,1,0.09,3.64075e+06
1500,15,B,2,0.09,3.64075e+06
1500,15,B,3,0.09,3.64075e+06
1500,15,B,4,0.09,3.64075e+06
1500,15,B,5,0.09,3.64075e+06
1500,15,C,1,1.33,2.51685e+06
1500,15,C,2,1.41,2.58031e+06
1500,15,C,3,1.07,2.56536e+06
1500,15,C,4,1.27,2.62186e+06
1500,15,C,5,1.31,2.54865e+06
1500,20,L,1,0.09,2.81204e+06
1500,20,L,2,0.09,2.81204e+06
1500,20,L,3,0.09,2.81204e+06
1500,20,L,4,0.09,2.81204e+06
1500,20,L,5,0.09,2.81204e+06
1500,20,B,1,0.09,2.81204e+06
1500,20,B,2,0.08,2.8276e+06
1500,20,B,3,0.06,2.80951e+06
1500,20,B,4,0.06,2.80951e+06
1500,20,B,5,0.06,2.80951e+06
1500,20,C,1,1.17,1.92543e+06
1500,20,C,2,0.92,2.00274e+06
1500,20,C,3,1.23,1.97701e+06
1500,20,C,4,1.21,1.97156e+06
1500,20,C,5,1.35,1.90865e+06
2000,2,L,1,1.27,3.45444e+07
2000,2,L,2,1.87,3.41183e+07
2000,2,L,3,2.06,3.2834e+07
2000,2,L,4,1.50,3.3465e+07
2000,2,L,5,1.74,3.34334e+07
2000,2,B,1,0.14,4.86887e+07
2000,2,B,2,0.13,4.86887e+07
2000,2,B,3,0.13,4.90207e+07
2000,2,B,4,0.10,4.87995e+07
2000,2,B,5,0.10,4.87995e+07
2000,2,C,1,2.62,3.39386e+07
2000,2,C,2,1.96,3.44256e+07
2000,2,C,3,1.73,3.41924e+07
2000,2,C,4,1.66,3.40301e+07
2000,2,C,5,2.05,3.34355e+07
2000,5,L,1,1.74,1.38653e+07
2000,5,L,2,2.12,1.37891e+07
2000,5,L,3,2.18,1.36343e+07
2000,5,L,4,1.94,1.42249e+07
2000,5,L,5,1.98,1.38852e+07
2000,5,B,1,0.11,2.05424e+07
2000,5,B,2,0.11,2.05424e+07
2000,5,B,3,0.11,2.05424e+07
2000,5,B,4,0.11,2.05424e+07
2000,5,B,5,0.11,2.05424e+07
2000,5,C,1,1.88,1.43032e+07
2000,5,C,2,1.89,1.33877e+07
2000,5,C,3,1.53,1.36121e+07
2000,5,C,4,1.71,1.33113e+07
2000,5,C,5,2.04,1.41944e+07
2000,10,L,1,0.10,9.72833e+06
2000,10,L,2,0.10,9.72833e+06
2000,10,L,3,0.10,9.72833e+06
2000,10,L,4,0.10,9.72833e+06
2000,10,L,5,0.10,9.72833e+06
2000,10,B,1,0.10,9.72833e+06
2000,10,B,2,0.10,9.72833e+06
2000,10,B,3,0.10,9.72833e+06
2000,10,B,4,0.10,9.73065e+06
2000,10,B,5,0.08,9.87283e+06
2000,10,C,1,1.66,6.78984e+06
2000,10,C,2,1.48,6.78857e+06
2000,10,C,3,1.61,6.91625e+06
2000,10,C,4,1.57,7.28145e+06
2000,10,C,5,2.13,6.78516e+06
2000,15,L,1,1.42,4.65229e+06
2000,15,L,2,0.10,6.59313e+06
2000,15,L,3,0.10,6.59313e+06
2000,15,L,4,0.10,6.59313e+06
2000,15,L,5,0.10,6.59313e+06
2000,15,B,1,0.10,6.59313e+06
2000,15,B,2,0.10,6.59313e+06
2000,15,B,3,0.10,6.59313e+06
2000,15,B,4,0.10,6.59313e+06
2000,15,B,5,0.10,6.59313e+06
2000,15,C,1,2.12,4.59255e+06
2000,15,C,2,1.86,4.3951e+06
2000,15,C,3,1.87,4.6885e+06
2000,15,C,4,1.90,4.3636e+06
2000,15,C,5,1.73,4.66644e+06
2000,20,L,1,0.11,4.92491e+06
2000,20,L,2,0.11,4.92491e+06
2000,20,L,3,0.11,4.92491e+06
2000,20,L,4,0.11,4.92491e+06
2000,20,L,5,0.12,4.99919e+06
2000,20,B,1,0.12,4.99919e+06
2000,20,B,2,0.12,4.99919e+06
2000,20,B,3,0.12,4.99919e+06
2000,20,B,4,0.12,4.99919e+06
2000,20,B,5,0.12,4.99919e+06
2000,20,C,1,1.32,3.5098e+06
2000,20,C,2,1.65,3.40853e+06
2000,20,C,3,1.80,3.39216e+06
2000,20,C,4,1.25,3.52037e+06
2000,20,C,5,1.66,3.59682e+06
