Jobs,Processors,Cooling,Run,Time,BestK2
1000,4,L,3,0.74,4.1733e+06
1000,4,L,4,0.81,4.16752e+06
1000,4,L,5,0.71,4.17122e+06
1000,4,B,1,0.06,6.05119e+06
1000,4,B,2,0.06,6.05119e+06
1000,4,B,3,0.06,6.05119e+06
1000,4,B,4,0.06,6.05119e+06
1000,4,B,5,0.06,6.05119e+06
1000,4,C,1,0.60,4.24978e+06
1000,4,C,2,0.64,4.24851e+06
1000,4,C,3,0.78,4.23603e+06
1000,4,C,4,0.54,4.25604e+06
1000,4,C,5,0.69,4.2454e+06
1000,8,L,1,0.43,2.16051e+06
1000,8,L,2,0.06,3.01247e+06
1000,8,L,3,0.06,3.01247e+06
1000,8,L,4,0.06,3.01247e+06
1000,8,L,5,0.06,3.01247e+06
1000,8,B,1,0.06,3.01827e+06
1000,8,B,2,0.07,3.01827e+06
1000,8,B,3,0.06,3.01827e+06
1000,8,B,4,0.06,3.01827e+06
1000,8,B,5,0.07,3.01827e+06
1000,8,C,1,0.77,2.10166e+06
1000,8,C,2,0.49,2.11589e+06
1000,8,C,3,0.45,2.11838e+06
1000,8,C,4,0.61,2.10966e+06
1000,8,C,5,0.59,2.10866e+06
1000,16,L,1,0.06,1.52048e+06
1000,16,L,2,0.07,1.54438e+06
1000,16,L,3,0.07,1.54438e+06
1000,16,L,4,0.07,1.54438e+06
1000,16,L,5,0.07,1.54438e+06
1000,16,B,1,0.06,1.55487e+06
1000,16,B,2,0.06,1.55487e+06
1000,16,B,3,0.06,1.55487e+06
1000,16,B,4,0.06,1.55487e+06
1000,16,B,5,0.06,1.55487e+06
1000,16,C,1,0.59,1.10465e+06
1000,16,C,2,0.64,1.10344e+06
1000,16,C,3,0.51,1.1102e+06
1000,16,C,4,0.68,1.10435e+06
1000,16,C,5,0.63,1.10359e+06
1000,20,L,1,0.06,1.25267e+06
1000,20,L,2,0.06,1.25267e+06
1000,20,L,3,0.06,1.25267e+06
1000,20,L,4,0.06,1.25267e+06
1000,20,L,5,0.07,1.25708e+06
1000,20,B,1,0.06,1.25525e+06
1000,20,B,2,0.06,1.25525e+06
1000,20,B,3,0.06,1.25525e+06
1000,20,B,4,0.06,1.25525e+06
1000,20,B,5,0.06,1.25525e+06
1000,20,C,1,0.60,871592
1000,20,C,2,0.78,867644
1000,20,C,3,0.66,869821
1000,20,C,4,0.42,881356
1000,20,C,5,0.49,874857
1500,2,L,1,1.51,1.86976e+07
1500,2,L,2,1.26,1.87368e+07
1500,2,L,3,1.10,1.87694e+07
1500,2,L,4,1.11,1.87752e+07
1500,2,L,5,0.85,1.88826e+07
1500,2,B,1,0.06,2.82808e+07
1500,2,B,2,0.06,2.82808e+07
1500,2,B,3,0.06,2.82808e+07
1500,2,B,4,0.06,2.82808e+07
1500,2,B,5,0.06,2.82808e+07
1500,2,C,1,1.28,1.96131e+07
1500,2,C,2,1.01,1.9682e+07
1500,2,C,3,1.14,1.96358e+07
1500,2,C,4,1.06,1.96793e+07
1500,2,C,5,1.20,1.96226e+07
1500,4,L,1,1.16,9.73238e+06
1500,4,L,2,1.33,9.71612e+06
1500,4,L,3,1.22,9.73044e+06
1500,4,L,4,1.19,9.74291e+06
1500,4,L,5,1.32,9.72437e+06
1500,4,B,1,0.08,1.40669e+07
1500,4,B,2,0.08,1.40669e+07
1500,4,B,3,0.08,1.40669e+07
1500,4,B,4,0.08,1.40669e+07
1500,4,B,5,0.10,1.40072e+07
1500,4,C,1,1.33,1.00466e+07
1500,4,C,2,1.22,1.0053e+07
1500,4,C,3,1.09,1.00686e+07
1500,4,C,4,1.31,1.00472e+07
1500,4,C,5,0.98,1.00957e+07
1500,8,L,1,1.11,4.93544e+06
1500,8,L,2,0.09,7.04122e+06
1500,8,L,3,0.09,7.04122e+06
1500,8,L,4,0.10,7.04122e+06
1500,8,L,5,0.13,7.04122e+06
1500,8,B,1,0.07,6.94372e+06
1500,8,B,2,0.08,6.94372e+06
1500,8,B,3,0.08,6.94372e+06
1500,8,B,4,0.07,6.94372e+06
1500,8,B,5,0.07,6.94372e+06
1500,8,C,1,0.98,4.74517e+06
1500,8,C,2,0.87,4.75429e+06
